AGEGROUP,Time,HEALTHY,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,INFECTED_SYMPTOMS_MILD,INFECTED_SYMPTOMS_SEVERE_ICpossible,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,CURED,DEAD,NAME,OBJECTID
AGE_18_35,28,94411,1,0,0,0,0,5,0,Achterhoek,16
AGE_35_45,28,44767,0,0,0,0,0,2,0,Achterhoek,16
AGE_45_65,28,78155,1,0,0,0,0,6,0,Achterhoek,16
AGE_65_85,28,78055,1,0,0,0,0,4,0,Achterhoek,16
AGE_85_100,28,28212,0,1,0,0,0,3,1,Achterhoek,16
AGE_0_18,29,77612,2,0,0,0,0,4,0,Achterhoek,16
AGE_18_35,29,94410,2,0,0,0,0,5,0,Achterhoek,16
AGE_35_45,29,44767,0,0,0,0,0,2,0,Achterhoek,16
AGE_45_65,29,78155,1,0,0,0,0,6,0,Achterhoek,16
AGE_65_85,29,78055,0,0,0,0,0,5,0,Achterhoek,16
AGE_85_100,29,28212,0,0,0,0,0,4,1,Achterhoek,16
AGE_0_18,30,77611,3,0,0,0,0,4,0,Achterhoek,16
AGE_18_35,30,94409,2,0,0,0,0,6,0,Achterhoek,16
AGE_35_45,30,44767,0,0,0,0,0,2,0,Achterhoek,16
AGE_45_65,30,78155,1,0,0,0,0,6,0,Achterhoek,16
AGE_65_85,30,78055,0,0,0,0,0,5,0,Achterhoek,16
AGE_85_100,30,28212,0,0,0,0,0,4,1,Achterhoek,16
AGE_0_18,31,77611,1,1,0,0,0,5,0,Achterhoek,16
AGE_18_35,31,94408,2,0,0,0,0,7,0,Achterhoek,16
AGE_35_45,31,44767,0,0,0,0,0,2,0,Achterhoek,16
AGE_45_65,31,78154,2,0,0,0,0,6,0,Achterhoek,16
AGE_65_85,31,78054,1,0,0,0,0,5,0,Achterhoek,16
AGE_85_100,31,28212,0,0,0,0,0,4,1,Achterhoek,16
AGE_0_18,32,77611,1,1,0,0,0,5,0,Achterhoek,16
AGE_18_35,32,94408,2,0,0,0,0,7,0,Achterhoek,16
AGE_35_45,32,44767,0,0,0,0,0,2,0,Achterhoek,16
